掲示場番号,住所,設置場所,緯度,経度
1.1,北品川5-2-06,御殿山小学校／正門右横植込み,35.623241,139.731659
1.2,北品川5-7,目黒川沿い遊歩道（小関橋前）／鉄柵,35.620979,139.731323
1.3,北品川5-8,目黒川沿い遊歩道（小関公園前）／鉄柵,35.619625,139.732849
1.4,北品川5-8,目黒川沿い遊歩道（居木橋前）／鉄柵,35.619625,139.732849
1.5,北品川5-20,御殿山通り（ONビル公開空地前）／植込み,35.619522,139.734726
1.6,北品川6-6-32,御殿山の丘公園／植込み,35.624592,139.733017
1.7,東五反田2-15-6,五反田保育園／フェンス,35.622177,139.729675
1.8,北品川5-3,御殿山幼稚園前／歩道植込み,35.622372,139.731674
2.1,北品川3-9-05,権現山公園／植込み,35.617714,139.737915
2.2,北品川3-9-30,品川学園／山手通り側植込み,35.617058,139.738342
2.3,北品川3-10-13,子供の森公園／東側植込み,35.616863,139.73822
2.4,北品川3-11-22,品川保健センター／植込み,35.616596,139.74086
2.5,北品川3-9-30,品川学園／プール側植込み,35.617058,139.738342
2.6,南品川4-7-05,日本ペイントホールディングス／植込み,35.61388,139.736404
2.7,南品川4-2,目黒川沿い遊歩道（大龍寺前）／鉄柵,35.614964,139.739685
2.8,南品川4-1-11,くりのき保育園／南側フェンス,35.614311,139.738205
3.1,北品川1-8,東京都交通局品川営業所／駐車場フェンス,35.623577,139.741531
3.2,北品川1-30-21,品海公園／フェンス,35.619949,139.742172
3.3,北品川2-7-21,聖蹟公園／山手通り側柵,35.618542,139.743713
3.4,東品川1-7-17,品川浦公園前／歩道植込み,35.620861,139.742554
3.5,東品川1-8-30,台場保育園／フェンス,35.621056,139.742996
3.6,東品川1-8-30,台場小学校／東側植込み,35.621056,139.742996
3.7,東品川1-2-11,東品川一丁目公園／植込み,35.622768,139.74382
3.8,東品川2-5,天王洲球場／都営アパート側植込み,35.621048,139.750046
3.9,東品川2-3-02,アイル品川（旧東品川清掃作業所）／植込み,35.623444,139.751007
4.1,東品川1-35,目黒川護岸（洲崎橋前）／鉄柵,35.618076,139.745651
4.2,東品川1-36-15,洲崎公園／入口横植込み,35.618141,139.746536
4.3,東品川3-1-05,福栄会／東側植込み,35.616982,139.746597
4.4,東品川3-14-09,東品川公園／植込み,35.614216,139.745743
4.5,東品川3-27-22,八潮高校／西側植込み,35.611317,139.746445
4.6,東品川3-10,品川シーサイドレジデンス前／歩道植込み,35.615421,139.750015
4.7,東品川3-30-15,東海中学校／ジュネーヴ平和通り側鉄柵,35.611691,139.748688
4.8,東品川3-32-8,敬老公園／鉄柵,35.61274,139.750259
4.9,南品川1-3,目黒川護岸（鎮守橋前）／鉄柵,35.616276,139.74411
5.1,南品川2-7-25,真了寺／万年塀,35.611515,139.743408
5.2,東品川4-1,元なぎさ通り（マンションニュー東品川前）／歩道植込み,35.6105,139.745377
5.3,東品川4-9,元なぎさ通り（秀和東品川レジデンス前）／歩道植込み,35.609276,139.745346
5.4,東品川4-10-01,元なぎさ通り（住友不動産品川ビル前）／歩道植込み,35.607555,139.746155
5.5,東品川4-12,天王洲通り（品川シ－サイド公園前）／植込み,35.610233,139.748657
5.6,東品川4-12,天王洲通り（品川シーサイド駅前）／歩道植込み,35.610233,139.748657
5.7,南品川2-8-23,天妙国寺／万年塀,35.612041,139.74411
5.8,南品川2-9-18,常行寺／城南小側墓地塀,35.613518,139.743393
6.1,南品川5-2,南五公園／側道側植込み,35.612053,139.740814
6.2,南品川5-3-20,品川第二地域センター／植込み,35.611202,139.741257
6.3,南品川5-12-04,品川エトワール女子高等学校／北側塀,35.608463,139.740402
6.4,南品川6-7-15,二日市公園／擬木柵,35.611553,139.73938
6.5,南品川6-8-08,浅間台小学校／石垣,35.610973,139.736313
6.6,南品川6-10-05,東京健康科学専門学校／鉄柵,35.609783,139.736038
6.7,南品川6-15-05,ゼームス坂（ユニバーサルドラッグ前）／歩道植込み,35.609936,139.738373
6.8,南品川6-18,浅間台公園／植込み,35.608475,139.737091
7.1,西品川1-7-09,品川消防署大崎出張所／フェンス,35.613602,139.731583
7.2,西品川1-8-01,東京都下水道局品川出張所／フェンス,35.61272,139.730789
7.3,西品川2-6-13,三ツ木公園／フェンス,35.613976,139.726151
7.4,西品川2-9-01,三ツ木児童遊園／植込み,35.613415,139.724396
7.5,西品川3-10-06,大崎中学校／北側フェンス,35.615662,139.723053
7.6,西品川3-10-06,大崎中学校／裏門側フェンス,35.615662,139.723053
7.7,西品川3-12-02,鎗ケ崎公園／鉄柵,35.615242,139.724335
7.8,西品川3-16-28,三木小学校／正門横フェンス,35.614922,139.726959
8.1,大崎4-2-16,立正大学／西側フェンス,35.62101,139.724075
8.2,大崎2-1,大崎駅西口ThinkPark前／歩道植込み,35.61837,139.727356
8.3,大崎2-2,ひふみ公園前／歩道植込み,35.61869,139.726166
8.4,大崎2-11,ル・サンク大崎ウィズタワー前／歩道植込み,,
8.5,大崎3-12-22,芳水小学校／東側植込み,35.618809,139.724792
8.6,大崎5-2,大崎五丁目遊園／植込み,35.621735,139.72644
8.7,大崎4-2-16,立正大学／峰原坂側フェンス,35.62101,139.724075
8.8,大崎5-2-01,大崎保育園前／植込み,35.621735,139.72644
8.9,大崎5-5-17,大崎公園／公園内生け垣,35.622898,139.723969
9.1,東五反田1-5-3,島津山眼科前／ガードレール,35.627003,139.726624
9.2,東五反田2-1-14,五反田南公園／鉄柵,35.624496,139.725266
9.3,東五反田2-11-03,日野学園／総合体育館西側植込み,35.624271,139.728333
9.4,東五反田2-11-03,日野学園／総合体育館東側植込み,35.624271,139.728333
9.5,西五反田1-10,大崎橋広場／植込み,35.624729,139.724045
9.6,西五反田2-20,目黒川沿い区道（本村橋前）／植込み,35.625835,139.721741
9.7,大崎1-11,山手通り（ゲートシティ大崎前）／歩道植込み,35.616947,139.729553
9.8,大崎1-14,目黒川護岸（居木橋公園前）／鉄柵,35.618244,139.733032
10.1,東五反田5-9-22,ＮＴＴ東日本関東病院／北側植込み,35.63055,139.726303
10.2,上大崎1-19-19,第三日野小学校／北側植込み,35.632641,139.72435
10.3,上大崎1-19-19,第三日野小学校／南側フェンス,35.632641,139.72435
10.4,上大崎1-23-15,北品川四谷線／歩道植込み,35.6325,139.720764
10.5,東五反田5-9-22,ＮＴＴ東日本関東病院健康管理棟／東側植込み,35.63055,139.726303
10.6,東五反田5-21-03,花房山通り／歩道植込み,35.628784,139.7211
10.7,東五反田5-21-10,五反田児童遊園／フェンス,35.62923,139.720505
10.8,東五反田5-25-27,五反田公園桜並木／植込み,35.627895,139.723648
11.1,西五反田2-22,目黒川沿い区道（ジニアスビル前）／植込み,35.62537,139.720673
11.2,西五反田2-32-7,北品川四谷線（大崎郵便局前）／歩道植込み,35.625004,139.718964
11.3,西五反田3-7,北品川四谷線（レジディアタワー前）／歩道植込み,35.62582,139.718338
11.4,西五反田6-4,第一日野小学校／第二グラウンドフェンス,35.622387,139.715424
11.5,西五反田6-6-20,荏原健康センター仮施設／北側フェンス,35.623398,139.716904
11.6,西五反田6-5-32,第一日野小学校／正門右横植込み,35.622047,139.715668
11.7,西五反田6-6-18,中原保育園仮設園舎／南側フェンス,35.623165,139.716934
11.8,西五反田7-2,山手通り（城南信用金庫本店前）／歩道植込み,35.624458,139.719086
12.1,西五反田3-9-10,西五反田保育園／植込み,35.626465,139.717041
12.2,西五反田3-12,目黒川沿い区道（亀の甲橋横高架下）／鉄柵,35.627632,139.714813
12.3,西五反田3-13,目黒川沿い区道（ｵｰｸﾌﾟﾚｲｽ目黒ﾘﾊﾞｰﾃﾗｽ前）／植込み,35.62812,139.714249
12.4,西五反田5-14-02,攻玉社学園／西側コンクリート塀,35.624348,139.71344
12.5,西五反田4-28-09,かむろ坂（かむろ坂公園前）／歩道植込み,35.625027,139.711731
12.6,西五反田4-29-09,第四日野小学校／南側植込み,35.625656,139.712677
12.7,西五反田5-14-02,攻玉社学園／北側コンクリート塀,35.624348,139.71344
12.8,西五反田5-28-16,西霧ヶ谷公園／植込み,35.623363,139.711777
13.1,上大崎2-9,山手線沿い区道（齋藤宅前）／ガードレール,35.637123,139.715912
13.2,上大崎2-13-30,目黒通り（oakmeguroビル前）／歩道植込み,35.634399,139.718369
13.3,上大崎2-16,上大崎橋／フェンス,35.634491,139.715805
13.4,上大崎2-17,上大崎新橋／フェンス,35.63567,139.715073
13.5,上大崎3-10-41,花房山通り／石垣,35.63105,139.716843
13.6,上大崎4-6-19,学校法人杉野学園本校舎／鉄柵,35.631489,139.71553
13.7,上大崎3-10-07,上大崎特別養護老人ホーム／入口植込み,35.632076,139.717926
13.8,西五反田3-6-15,谷山公園／入口横植込み,35.62793,139.718536
13.9,西五反田3-6-03,大崎第一地域センター前／歩道植込み,35.627678,139.71785
14.1,東大井3-4-04,東大井公園／西側植込み,35.603378,139.738464
14.2,東大井3-6-18,東大井三丁目区営住宅／ポンプ室前鉄柵,35.602722,139.73999
14.3,東大井3-13-01,来福寺／西門の壁,35.601578,139.737503
14.4,東大井4-1,池上通り（仙台味噌月極駐車場前）／歩道植込み,35.606991,139.73996
14.5,東大井4-8-04,大井公園／西側鉄柵,35.605637,139.740753
14.6,東大井3-4-04,東大井公園／東側フェンス,35.603378,139.738464
14.7,東大井4-15-09,立会小学校／植込み,35.604481,139.739685
14.8,東大井5-23-37,池上通り（三菱鉛筆前）／歩道植込み,35.605564,139.736526
15.1,東大井1-4-11,鮫洲運動公園／北側植込み,35.605865,139.745132
15.2,東大井1-4-11,鮫洲運動公園／西側フェンス,35.605865,139.745132
15.3,東大井1-4,元なぎさ通り（ローソン前）／歩道植込み,35.605747,139.744629
15.4,東大井1-12-17,関東運輸局東京運輸支局／バス停側植込み,35.604893,139.746506
15.5,東大井2-10-14,鮫浜小学校／校庭フェンス,35.600983,139.740311
15.6,東大井2-1-08,品川運輸／ブロック塀,35.602791,139.740479
15.7,東大井1-16-15,鮫洲入江公園／植込み,35.604309,139.743912
15.8,東大井2-26-18,新浜川公園／公衆便所前鉄柵,35.59787,139.741028
16.1,東大井6-12,立会道路（関ケ原公園前）／植込み,35.602306,139.735626
16.2,東大井3-18-34,浜川中学校／西側裏門鉄柵,35.60059,139.738113
16.3,東大井6-17,立会道路（東京品川病院病棟前）／植込み,35.601093,139.734726
16.4,南大井4-2,立会川護岸（昭和橋前）／西側鉄柵,35.598686,139.736435
16.5,南大井4-3-27,浜川小学校／南側植込み,35.597939,139.735626
16.6,南大井5-7-10,南大井5丁目区営住宅／塀,35.597878,139.734238
16.7,南大井4-8-22,浜川公園／東側植込み,35.597492,139.735489
16.8,南大井4-8-22,浜川公園／西側植込み,35.597492,139.735489
17.1,南大井6-1,桐畑公園／鉄柵,35.593052,139.732086
17.2,南大井3-27-05,大井海岸公園／東側植込み,35.58852,139.733307
17.3,南大井4-16-02,鈴ケ森小学校／東側入口鉄柵,35.594082,139.734467
17.4,南大井4-18,鈴ケ森公園／西側植込み,35.59362,139.734406
17.5,南大井5-16-01,大井水神公園（空気抜き塔前）／大井町駅寄り鉄柵,35.594608,139.731934
17.6,南大井6-2-15,水神保育園／鉄柵,35.592842,139.732773
17.7,南大井6-15-02,大井水神公園（品川モニュメント前）／大森駅寄り植込み,35.590508,139.729675
17.8,南大井5-19-01,桜新道（ケアセンター南大井前）／歩道植込み,35.594666,139.733887
17.9,南大井6-26-01,桜新道（大森ベルポート前）／歩道植込み,35.588257,139.73175
18.1,大井1-3,区役所通り（イトーヨーカドー前）／歩道植込み,35.852497,139.517303
18.2,大井1-46-8,大井中央公園／植込み鉄柵,35.604259,139.7323
18.3,大井1-50,阪急大井町ガーデン前／歩道植込み,35.605633,139.733978
18.4,大井2-1-13,森下児童遊園／鉄柵,35.852772,139.518738
18.5,大井2-22-15,渡辺駐車場／ブロック塀,35.60358,139.729019
18.6,大井2-27-20,大井第二地域センター前／歩道植込み,35.603886,139.730438
18.7,大井3-7-19,山中小学校／正門横鉄柵,35.603107,139.729874
18.8,大井3-7-19,山中小学校／裏門横鉄柵,35.603107,139.729874
19.1,大井4-14-08,大井在宅介護支援センター／フェンス,35.601936,139.732315
19.2,大井4-22-30,大井倉田児童遊園／植込み,35.600174,139.73204
19.3,大井5-19-05,滝王子公園／植込み,35.598167,139.728867
19.4,大井6-1-32,大井第一小学校／正門右横植込み,35.598705,139.730713
19.5,大井6-1-32,大井第一小学校／南門右横植込み,35.598705,139.730713
19.6,大井6-1-32,大井第一小学校／北側コンクリート塀,35.598705,139.730713
19.7,大井6-8-02,大井鹿島公園／植込み,35.596821,139.732513
19.8,大井6-18-36,鹿島神社／石垣,35.595654,139.729706
20.1,大井3-22-03,やまなか公園／植込み,35.600815,139.727707
20.2,大井5-1-37,伊藤学園／東側コンクリート塀,35.600227,139.725861
20.3,大井5-1-37,伊藤学園／西側鉄柵,35.600227,139.725861
20.4,大井7-29-11,鹿島庚塚児童遊園／鉄柵,35.593861,139.729523
20.5,大井5-28-21,大場宅駐車場／コンクリ－ト塀,35.597679,139.725632
20.6,西大井1-5,光学通り（ニコン跡地前）／歩道植込み,35.603016,139.725418
20.7,西大井1-6,光学通り（ニコン前）／歩道植込み,35.602032,139.725906
20.8,西大井1-6-13,品川翔英／正門右横塀,35.602573,139.726761
21.1,西大井1-1,横須賀線沿い遊歩道（Ｊタワー西大井前）／西側植込み,35.600971,139.721786
21.2,西大井1-3,西大井駅前交番前／歩道植込み,35.60173,139.721924
21.3,西大井1-4-10,西大井広場／南側入口鉄柵,35.601753,139.723602
21.4,西大井2-5-21,ウェルカムセンター原／南側植込み,35.598743,139.721619
21.5,西大井2-5-21,ヘルスケアタウンにしおおい／北側フェンス,35.598743,139.721619
21.6,西大井3-1-05,出石児童遊園／フェンス,35.597771,139.72319
21.7,西大井3-16-27,出石公園／鉄柵,35.594513,139.722015
21.8,西大井4-23-12,西大井四丁目防災活動広場／植込み,35.59306,139.719299
22.1,西大井5-5-14,冨士見台中学校／正門右横コンクリート塀,35.598244,139.715698
22.2,西大井5-6-08,伊藤小学校／正門左横鉄柵,35.598679,139.716827
22.3,西大井5-7-03,富士見ケ丘児童遊園／入口右横鉄柵,35.599293,139.717026
22.4,西大井5-22-08,旧伊藤幼稚園／入口左横鉄柵,35.597347,139.717117
22.5,西大井6-1-14,原っぱ公園／入口右横鉄柵,35.601048,139.714966
22.6,西大井6-3-01,西大井六丁目ふれあい広場／植込み,35.60104,139.716187
22.7,西大井6-10-21,西大井六丁目区営住宅／フェンス,35.600117,139.719803
22.8,西大井6-17-05,西大井六丁目第二区営住宅5号棟／植込み,35.600342,139.715469
23.1,小山台1-18-24,小山台小学校／正門右横植込み,35.622478,139.703033
23.2,小山台1-20,かむろ坂（都築電気小山台ビル前）／歩道植込み,35.622498,139.704834
23.3,小山台1-30-03,かむろ坂（マートルコート目黒不動前）／歩道植込み,35.623459,139.707886
23.4,小山台1-33-8,かむろ坂（ＴＯＰ不動前前）／歩道植込み,35.624332,139.709732
23.5,小山台2-2,小山台公園／歩道植込み,35.624992,139.697952
23.6,小山台2-7,林試の森公園水車門入口／区道植込み,35.623447,139.702164
23.7,小山3-3-32,小山台高校／正門右横植込み,35.765564,139.525314
23.8,小山3-3-32,小山台高校／体育館裏側植込み,35.765564,139.525314
